time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1722349600.6469243,2600.006,2600.000,2600.006,800.000,2600.000,800.000,2600.000,800.000,2600.000,800.000,2600.000,800.000,2600.000,800.000,2600.006,800.000,2323.697,2323.739,2323.706,2323.701,2321.714,2321.639,2321.752,2321.718
1722349601.6635823,2572.631,2571.931,2572.630,800.000,2572.657,800.000,2572.652,800.000,2572.662,800.000,2572.641,800.000,2572.653,800.000,2572.662,800.000,2295.492,2295.376,2295.384,2295.390,2295.607,2295.640,2295.603,2295.552
1722349602.6808975,2600.006,2600.091,2600.000,800.000,2600.000,800.000,2600.006,800.000,2600.006,800.000,2600.006,800.000,2600.006,800.000,2600.000,800.000,2327.763,2327.792,2327.785,2327.799,2322.406,2322.407,2322.486,2322.513
1722349603.7004356,2700.000,2700.008,2699.993,800.000,2700.000,800.000,2700.000,800.000,2700.006,800.000,2699.993,800.000,2700.006,800.000,2700.006,800.000,2324.439,2324.291,2324.417,2324.425,2323.635,2323.635,2323.584,2323.655
1722349604.7176733,2600.000,2600.000,2600.000,800.000,2600.006,800.000,2600.000,800.000,2600.000,800.000,2599.993,800.000,2600.006,800.000,2599.993,800.000,2325.703,2325.741,2325.747,2325.744,2321.873,2321.797,2321.829,2321.778
1722349605.7346706,2600.000,2600.011,2600.000,800.000,2599.993,800.000,2599.993,800.000,2600.000,800.000,2600.000,800.000,2600.006,800.000,2600.006,800.000,2324.214,2324.166,2324.198,2324.225,2325.906,2325.864,2325.703,2325.929
1722349606.750359,2600.000,2600.000,2600.006,800.000,2600.000,800.000,2600.000,800.000,2600.000,800.000,2600.006,800.000,2600.006,800.000,2600.000,800.000,2322.380,2322.293,2322.173,2322.152,2321.398,2321.752,2321.363,2321.385
1722349607.7670581,2600.006,2599.979,2600.000,800.000,2600.000,800.000,2600.000,800.000,2600.006,800.000,2600.006,800.000,2600.000,800.000,2599.993,800.000,2322.400,2322.329,2321.291,2321.433,2321.588,2321.599,2321.572,2321.585
1722349608.787606,2700.006,2700.000,2700.000,800.000,2699.993,800.000,2700.006,800.000,2700.000,800.000,2699.993,800.000,2700.006,800.000,2700.000,800.000,2322.030,2322.031,2321.991,2322.018,2321.960,2321.961,2321.968,2321.983
1722349609.8047435,2600.006,2600.000,2600.000,800.000,2600.000,800.000,2600.006,800.000,2600.000,800.000,2599.993,800.000,2600.000,800.000,2600.000,800.000,2322.394,2322.327,2322.320,2322.345,2321.579,2321.585,2321.625,2321.772
1722349610.820985,2600.006,2600.000,2600.000,800.000,2600.000,800.000,2600.000,800.000,2600.000,800.000,2600.000,800.000,2600.006,800.000,2599.993,800.000,2322.222,2322.043,2322.077,2322.059,2321.838,2322.047,2321.983,2321.973
1722349611.8379989,2599.967,2599.978,2600.000,800.000,2599.993,800.000,2600.006,800.000,2600.000,800.000,2600.006,800.000,2600.000,800.000,2600.000,800.000,2322.168,2322.156,2322.177,2322.170,2323.095,2323.134,2323.103,2323.120
1722349612.8549445,2599.986,2600.021,2599.993,800.000,2600.000,800.000,2600.000,800.000,2600.000,800.000,2600.000,800.000,2600.000,800.000,2600.000,800.000,2322.233,2322.254,2322.265,2322.287,2321.788,2321.391,2321.378,2321.390
1722349613.871587,2699.993,2700.008,2700.000,2647.063,2700.000,800.000,2700.006,800.000,2700.000,800.000,2700.006,800.000,2700.006,800.000,2700.000,800.000,2324.799,2324.780,2324.787,2324.786,2322.156,2322.091,2322.260,2322.035
1722349614.8882453,2600.000,2600.000,2600.000,2600.009,2600.006,800.000,2599.993,800.000,2599.993,800.000,2599.993,800.000,2600.000,800.000,2600.000,800.000,2323.681,2323.825,2323.693,2323.697,2321.702,2321.674,2321.691,2321.688
1722349615.9044383,2600.000,2599.974,2600.000,2600.018,2600.006,800.000,2600.000,800.000,2600.000,800.000,2600.006,800.000,2599.993,800.000,2600.000,800.000,2322.253,2321.957,2322.234,2322.297,2321.770,2321.601,2321.626,2321.595
1722349616.921107,2600.000,2600.000,2600.000,2600.000,2600.000,800.000,2600.000,800.000,2600.006,800.000,2599.993,800.000,2600.006,800.000,2600.000,800.000,2322.609,2322.394,2322.386,2322.381,2321.610,2321.563,2321.470,2321.647
1722349617.9385614,2600.000,2600.013,2600.000,2599.980,2599.993,800.000,2600.006,800.000,2600.000,800.000,2600.000,800.000,2600.006,800.000,2600.000,800.000,2322.350,2322.121,2322.338,2322.328,2321.496,2321.499,2321.411,2321.507
1722349618.9551291,2600.006,2600.013,2599.993,2600.000,2600.006,800.000,2600.006,800.000,2600.123,800.000,2600.032,800.000,2600.000,800.000,2600.000,800.000,2322.379,2322.378,2322.411,2322.457,2321.550,2321.512,2321.411,2321.549
1722349619.9716852,2600.000,2600.000,2600.000,2600.000,2600.000,800.000,2600.006,800.000,2600.006,800.000,2600.000,800.000,2600.000,800.000,2600.000,800.000,2321.711,2321.646,2321.669,2321.689,2321.450,2321.444,2321.525,2321.456
1722349620.9891987,2600.000,2600.000,2600.006,2600.000,2600.000,800.000,2600.000,800.000,2600.000,2600.208,2600.006,800.000,2600.000,800.000,2600.000,800.000,2322.606,2322.626,2322.611,2322.613,2321.800,2321.806,2321.801,2321.809
